,country,language,map_year,weights
677,Yugoslavia,bos,1978,2.0
678,Netherlands,ger,1978,3.0
679,Canada,slo,1978,2.0
680,Yugoslavia,ger,1978,1.0
681,France,eng,1978,1.0
682,Czechoslovakia,che,1978,3.0
683,South Africa,eng,1978,0.5
684,Nicaragua,spa,1978,1.0
685,Finland,ger,1978,1.0
686,Czechoslovakia,ukr,1978,1.0
687,United States,ger,1978,1.3333333333333333
688,Paraguay,grn,1978,2.0
689,USSR,kir,1978,1.0
690,Czechoslovakia,lat,1978,1.0
691,Austria,eng,1978,0.5
692,India,hin,1978,1.0
693,Canada,ger,1978,1.0
694,Czechoslovakia,cre,1978,1.0
695,Switzerland,slo,1978,1.0
696,United Kingdom,pol,1978,2.25
697,West Germany,slo,1978,1.0
698,East Germany,fre,1978,1.0
699,East Germany,eng,1978,2.0
700,USSR,kaa,1978,1.0
701,Vietnam,vie,1978,1.0
702,Sweden,eng,1978,5.0
703,Iran,per,1978,8.0
704,Iraq,kur,1978,1.0
705,Dominican Republic,crp,1978,1.0
706,Yugoslavia,eng,1978,3.0
707,Israel,eng,1978,2.0
708,USSR,tgk,1978,2.0
709,Brazil,epo,1978,1.0
710,Czechoslovakia,sla,1978,3.0
711,East Germany,pol,1978,2.0
712,India,eng,1978,1.0
713,Costa Rica,spa,1978,2.0
714,USSR,geo,1978,1.0
715,Syria,ara,1978,1.0
716,USSR,bel,1978,1.0
717,Japan,fre,1978,1.0
718,China,por,1978,1.0
719,Denmark,dut,1978,1.0
720,Norway,ita,1978,1.0
721,Panama,slo,1978,2.0
722,Japan,eng,1978,1.0
723,United Kingdom,fre,1978,1.0
724,West Germany,dan,1978,1.0
725,United Kingdom,spa,1978,0.25
726,United States,spa,1978,0.25
727,,fao,1978,1.0
728,France,ita,1978,1.0
729,Italy,slv,1978,1.0
730,Spain,ach,1978,1.0
731,Israel,spa,1978,1.0
732,Mexico,che,1978,1.0
733,Spain,baq,1978,1.0
734,Czechoslovakia,bul,1978,1.0
735,USSR,eng,1978,2.0
736,Taiwan,chi,1978,5.0
737,Italy,srd,1978,1.0
738,France,rus,1978,1.0
739,Iran,ira,1978,1.0
740,West Germany,sla,1978,0.6666666666666666
741,Austria,sla,1978,0.3333333333333333
742,Lebanon,ara,1978,1.0
743,United States,eng,1989,239.60000000000014
744,Italy,ita,1989,202.0
745,West Germany,ger,1989,228.90833333333342
746,East Germany,ger,1989,90.78333333333332
747,France,fre,1989,364.16666666666663
748,USSR,est,1989,7.0
749,United Kingdom,eng,1989,175.56666666666663
750,USSR,hun,1989,1.0
751,Austria,ger,1989,64.06666666666669
752,Yugoslavia,hrv,1989,19.0
753,Poland,pol,1989,154.0
754,Switzerland,ger,1989,32.04166666666666
755,Netherlands,dut,1989,98.99999999999999
756,Czechoslovakia,slo,1989,94.0
757,Hungary,hun,1989,114.16666666666666
758,Czechoslovakia,ger,1989,45.5
759,Australia,eng,1989,5.0
760,Portugal,por,1989,14.833333333333334
